id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
6d79ca6c-855d-485b-9ec7-708e032b269d,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown
e70a8d28-90e9-4967-a90f-d7260a37405a,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown
4bc1fdcb-44ab-42eb-99f0-00e4686c0e24,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown
a4b7869e-034a-41bc-b8b8-8e981bb00be4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown
61706d86-e972-454b-b010-1156d2b3152b,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown
232b7789-cd76-425e-be1a-9a72f9ecb764,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown
55e7845b-02f2-476c-8dd7-c4cc7b33ce77,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown
f96e37dd-5e89-43a3-9421-c89088f7f33f,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown
90ad670b-795a-4de3-800a-b56a89f82338,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown
230bb1a3-d5ca-4456-8645-6bb582f3fd13,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown
c4c7ad88-2920-436e-b766-db07467cf71f,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown
35cd39b4-913e-48cb-9fed-d26efeb080a7,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown
f4f34a61-c00c-4d9c-b14b-0edc9f98d5af,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown
783ca39f-dc23-4e25-8ae4-26045c6e7d69,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown
7b0c4e4c-9a9b-44de-9c9b-d06fa43945f3,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown
86c85b72-95a2-489b-bd0d-24f2cb02964c,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown
1e0f5467-9eb5-4d4c-82be-4163ddcc48ec,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown
c37e5d6f-2e07-4a83-9449-032c87aaed50,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown
47a3f821-59dd-4cef-9677-d045e50f177c,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown
6a7bcbe8-3c4e-499b-a42a-452daaf618c3,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown
86dd7e56-a7fd-428b-85cc-7ad1e92c75e7,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown
50440334-2f53-4cc7-8a65-377bf6566b14,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown
44d289f9-1864-4e41-a00e-e01c76647f1a,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown
948e98db-5857-488d-bdc9-cedafae78b2f,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown
a62524af-ff12-4e0d-a3e0-3edd6fda9f0c,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown
c355b296-f5b1-429e-9984-e7da8d6a5f82,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown
fd4af5c7-45cb-4908-a8c5-65798f6da6a9,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown
382befb8-c433-4680-bef4-e1d882419729,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown
bbfe0854-6021-417f-bb1f-d45e023268b9,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown
83d091f4-ac64-4bb8-b294-cfa1cf1660b2,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown
fc505754-35ac-4711-811a-507cbd766d2a,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown
75f190fe-b299-4df1-ac49-4291f54d0d44,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown
be8cb25e-978d-467d-a691-ebffae52de6f,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown
3e8d880b-6411-4bae-98c9-afe0c58415b5,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown
f531ac4f-02e2-4637-8435-3830ac00c5e6,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown
736def5f-c34a-42e8-a90d-f9b4d96995b5,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown
ce75c5e7-0673-455f-ac1c-0e1f4c0b66b9,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown
ecf6289e-d6ec-4579-a385-7dc84e688793,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown
4fca2258-1853-4e95-b378-ed388ed7a25d,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown
c1796c7f-573a-49a1-94e5-f9f9077aa60b,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown
77ee5deb-b340-46d4-a155-7436590110d8,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown
58edb6b4-41dc-4c5e-9b10-514ac2983e6a,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown
ccc70a2f-54ee-431c-b8bb-bbd0fe2ebe44,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown
ee529152-30ed-4689-b4fa-036d60e12131,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown
ccb36224-97df-4bd8-9b58-9d99a9bd8baa,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown
efa99646-9ac6-4529-8ad8-4896cd30ec5e,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown
b2a045f2-5912-4224-83c5-5055330ad4d5,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown
a382f310-c430-4e60-8511-3bd866ccd281,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown
99ebb660-44b1-45e0-b424-c10f2f80cf57,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown
c5fd2519-c21c-4a09-8075-642f2dc5cbb6,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown
